symbol,symbol_normalized,name,paprika_id,market_cap_usd,bybit_categories
BTC,BTC,Bitcoin,btc-bitcoin,1739204548414.00,"linear,spot"
ETH,ETH,Ethereum,eth-ethereum,351455455589.00,"linear,spot"
USDT,USDT,Tether,usdt-tether,177475641238.00,spot
BNB,BNB,BNB,bnb-binance-coin,120692528176.00,"linear,spot"
XRP,XRP,XRP,xrp-xrp,115912044678.00,"linear,spot"
USDC,USDC,USDC,usdc-usd-coin,78317680412.00,"linear,spot"
SOL,SOL,Solana,sol-solana,71561658205.00,"linear,spot"
STETH,STETH,Lido Staked Ether,steth-lido-staked-ether,28571280015.00,spot
TRX,TRX,TRON,trx-tron,24247410545.00,"linear,spot"
DOGE,DOGE,Dogecoin,doge-dogecoin,19562363302.00,"linear,spot"
ADA,ADA,Cardano,ada-cardano,14735652792.00,"linear,spot"
WBTC,WBTC,Wrapped Bitcoin,wbtc-wrapped-bitcoin,11408469910.00,spot
BCH,BCH,Bitcoin Cash,bch-bitcoin-cash,10856464318.00,"linear,spot"
HYPE,HYPE,Hyperliquid,hype-hyperliquid,8846014818.00,"linear,spot"
WEETH,WEETH,Wrapped eETH,weeth-wrapped-eeth,8294218520.00,spot
LINK,LINK,Chainlink,link-chainlink,8026898919.00,"linear,spot"
XMR,XMR,Monero,xmr-monero,7886326872.00,linear
XLM,XLM,Stellar,xlm-stellar,7109857033.00,"linear,spot"
ZEC,ZEC,Zcash,zec-zcash,6615765854.00,linear
OKB,OKB,OKB,okb-okb,6528613623.00,linear
LTC,LTC,Litecoin,ltc-litecoin,5952548651.00,"linear,spot"
SUI,SUI,Sui,sui-sui,5614647264.00,"linear,spot"
USDE,USDE,Ethena USDe,usde-ethena-usde,5417591447.00,"linear,spot"
AVAX,AVAX,Avalanche,avax-avalanche,5141939596.00,"linear,spot"
HBAR,HBAR,Hedera Hashgraph,hbar-hedera-hashgraph,4850077180.00,"linear,spot"
SHIB,SHIB,Shiba Inu,shib-shiba-inu,4634222799.00,spot
MNT,MNT,Mantle,mnt-mantle,4080224972.00,"linear,spot"
TON,TON,Toncoin,toncoin-the-open-network,3770162635.00,"linear,spot"
DAI,DAI,Dai,dai-dai,3330186716.00,spot
WLFI,WLFI,Official World Liberty Financial,wlfi-official-world-liberty-financial,3306482937.00,"linear,spot"
UNI,UNI,Uniswap,uni-uniswap,3091032491.00,"linear,spot"
AAVE,AAVE,Aave,aave-new,2794658486.00,"linear,spot"
M,M,MemeCore,m-memecore,2705514830.00,linear
CRO,CRO,Cronos,cro-cryptocom-chain,2529049514.00,linear
CC,CC,Canton Network,cc-canton-network,2487538680.00,"linear,spot"
TAO,TAO,BitTensor,tao-bittensor,2487336722.00,linear
USD1,USD1,USD1,usd1-usd1,2127088320.00,"linear,spot"
ETC,ETC,Ethereum Classic,etc-ethereum-classic,1949128713.00,"linear,spot"
NEAR,NEAR,Near Protocol,near-near-protocol,1840725920.00,"linear,spot"
PEPE,PEPE,Pepe,pepe-pepe,1717168617.00,spot
ENA,ENA,Ethena,ena-ethena,1696835617.00,"linear,spot"
ICP,ICP,Internet Computer,icp-internet-computer,1660222033.00,"linear,spot"
KCS,KCS,KuCoin Token,kcs-kucoin-token,1343575773.00,spot
USDTB,USDTB,USDtb,usdtb-usdtb,1335146446.00,spot
SKY,SKY,Sky,sky-sky,1317924751.00,"linear,spot"
ASTER,ASTER,Aster,aster-aster,1299348754.00,"linear,spot"
ONDO,ONDO,Ondo,ondo-ondo,1293685125.00,"linear,spot"
WLD,WLD,Worldcoin,wld-worldcoin,1291828920.00,"linear,spot"
LBTC,LBTC,Lombard Staked BTC,lbtc-lombard-staked-btc,1214532486.00,spot
KAS,KAS,Kaspa,kas-kaspa,1211656553.00,"linear,spot"
METH,METH,mETH,meth-meth,1203723530.00,spot
APT,APT,Aptos,apt-aptos,1187623047.00,"linear,spot"
ARB,ARB,Arbitrum,arb-arbitrum,1124372657.00,"linear,spot"
XAUT,XAUT,Tether Gold,xaut-tether-gold,1061079475.00,"linear,spot"
TRUMP,TRUMP,OFFICIAL TRUMP,trump-official-trump,1042021843.00,"linear,spot"
ALGO,ALGO,Algorand,algo-algorand,1032479691.00,"linear,spot"
NIGHT,NIGHT,Midnight,night-midnight2,990958876.00,"linear,spot"
POL,POL,Polygon Ecosystem Token,pol-polygon-ecosystem-token,962752664.00,"linear,spot"
VET,VET,VeChain,vet-vechain,932080269.00,"linear,spot"
FLR,FLR,Flare Network,flr-flare-network,922396989.00,"linear,spot"
FIL,FIL,Filecoin,fil-filecoin,922209410.00,"linear,spot"
QNT,QNT,Quant,qnt-quant,908290971.00,"linear,spot"
PAXG,PAXG,PAX Gold,paxg-pax-gold,851460246.00,linear
PUMP,PUMP,Pump.fun,pump-pumpfun,817918840.00,spot
ATOM,ATOM,Cosmos,atom-cosmos,785380542.00,"linear,spot"
RENDER,RENDER,Render,rndr-render-token,726437002.00,"linear,spot"
SEI,SEI,Sei,sei-sei,714990091.00,"linear,spot"
CAKE,CAKE,PancakeSwap,cake-pancakeswap,686752807.00,"linear,spot"
BONK,BONK,Bonk,bonk-bonk,663954563.00,spot
PENGU,PENGU,Pudgy Penguins,pengu-pudgy-penguins,639259941.00,"linear,spot"
JUP,JUP,Jupiter Exchange Token,jup-jupiter-exchange-token,608708568.00,"linear,spot"
XDC,XDC,XDC Network,xdc-xdc-network,602892385.00,"linear,spot"
NEXO,NEXO,Nexo,nexo-nexo,596599521.00,spot
FET,FET,Artificial Superintelligence Alliance,fetch-ai,578987073.00,spot
OP,OP,Optimism,op-optimism,570216858.00,"linear,spot"
IP,IP,Story,ip-story,569149557.00,"linear,spot"
FORM,FORM,Form,form-form,546388326.00,linear
DASH,DASH,Dash,dash-dash,519206452.00,linear
USDD,USDD,USDD,usdd-usdd,517607181.00,spot
LDO,LDO,Lido DAO,ldo-lido-dao,495642807.00,"linear,spot"
TUSD,TUSD,TrueUSD,tusd-trueusd,493474351.00,spot
XTZ,XTZ,Tezos,xtz-tezos,492652693.00,"linear,spot"
SPX,SPX,SPX6900,spx-spx6900,487572030.00,"linear,spot"
AERO,AERO,Aerodrome Finance,aero-aerodrome-finance,486722606.00,"linear,spot"
INJ,INJ,Injective Protocol,inj-injective-protocol,482158859.00,"linear,spot"
STX,STX,Stacks,stx-stacks,479180981.00,"linear,spot"
ETHFI,ETHFI,Ether.fi,ethfi-etherfi,474332339.00,"linear,spot"
STRK,STRK,Starknet,strk-starknet,468804493.00,"linear,spot"
VIRTUAL,VIRTUAL,Virtuals Protocol,virtual-virtual-protocol,461825081.00,"linear,spot"
MYX,MYX,MYX Finance,myx-myx,456625526.00,linear
CRV,CRV,Curve DAO Token,crv-curve-dao-token,448490733.00,"linear,spot"
IMX,IMX,Immutable X,imx-immutable-x,441883218.00,"linear,spot"
KAIA,KAIA,Kaia,kaia-kaia,431634096.00,"linear,spot"
FLOKI,FLOKI,Floki Inu,floki-floki-inu,413639120.00,spot
MERL,MERL,Merlin Chain,merl-merlin-chain,409200212.00,"linear,spot"
TWT,TWT,Trust Wallet Token,twt-trust-wallet-token,404150219.00,"linear,spot"
JST,JST,JUST,jst-just,395656132.00,"linear,spot"
SUN,SUN,SUN,sun-sun,388639062.00,"linear,spot"
BTT,BTT,BitTorrent,bttc-bittorrent-chain,388578700.00,spot
2Z,2Z,DoubleZero,2z-doublezero,378023670.00,"linear,spot"
TEL,TEL,Telcoin,tel-telcoin,372206142.00,spot
WIF,WIF,dogwifhat,wif-dogwifcoin,371180226.00,"linear,spot"
GRT,GRT,The Graph,grt-the-graph,368403105.00,"linear,spot"
BSV,BSV,Bitcoin SV,bsv-bitcoin-sv,367220299.00,linear
ENS,ENS,Ethereum Name Service,ens-ethereum-name-service,355348979.00,"linear,spot"
NFT,NFT,APENFT,nft-apenft,353685017.00,spot
CFX,CFX,Conflux Network,cfx-conflux-network,351172864.00,linear
PIPPIN,PIPPIN,Pippin,pippin-pippin,343999243.00,linear
FARTCOIN,FARTCOIN,Fartcoin,fartcoin-fartcoin,342486503.00,linear
BAT,BAT,Basic Attention Token,bat-basic-attention-token,337396495.00,"linear,spot"
IOTA,IOTA,IOTA,miota-iota,335875453.00,linear
PENDLE,PENDLE,Pendle,pendle-pendle,329729912.00,"linear,spot"
THETA,THETA,THETA,theta-theta-token,325699192.00,"linear,spot"
TIA,TIA,Celestia,tia-celestia,318641442.00,"linear,spot"
SYRUP,SYRUP,Syrup Token,syrup-syrup-token,310499344.00,linear
CHZ,CHZ,Chiliz,chz-chiliz,307523168.00,"linear,spot"
FLOW,FLOW,Flow,flow-flow,306373517.00,"linear,spot"
JASMY,JASMY,JasmyCoin,jasmy-jasmycoin,302547720.00,"linear,spot"
HNT,HNT,Helium,hnt-helium,301172838.00,"linear,spot"
GNO,GNO,Gnosis,gno-gnosis,298507061.00,linear
SAND,SAND,The Sandbox,sand-the-sandbox,297571196.00,"linear,spot"
PYUSD,PYUSD,PayPal USD,pyusd-paypal-usd,294331918.00,spot
LUNC,LUNC,Terra Classic,luna-terra,273336698.00,spot
S,S,Sonic,s-sonic,266308144.00,"linear,spot"
NEO,NEO,NEO,neo-neo,262757518.00,linear
MORPHO,MORPHO,Morpho,morpho-morpho,262044543.00,"linear,spot"
MANA,MANA,Decentraland,mana-decentraland,259429426.00,"linear,spot"
STABLE,STABLE,Stable,stable-stable,255831391.00,"linear,spot"
A,A,Vaulta,a-vaulta,252263297.00,"linear,spot"
GALA,GALA,Gala,gala-gala,249620002.00,"linear,spot"
COMP,COMP,Compound,comp-compoundd,240704642.00,"linear,spot"
FF,FF,Falcon Finance,ff-falcon-finance,239111238.00,"linear,spot"
XPL,XPL,Plasma,xpl-plasma,238557115.00,"linear,spot"
AR,AR,Arweave,ar-arweave,236002391.00,"linear,spot"
B,B,BUILDon,b-buildon,229864987.00,linear
1INCH,1INCH,1INCH,1inch-1inch,225845285.00,"linear,spot"
PYTH,PYTH,Pyth Network,pyth-pyth-network,217344630.00,"linear,spot"
MON,MON,Monad,mon-monad,214301955.00,"linear,spot"
GLM,GLM,Golem,glm-golem,211251583.00,linear
RUNE,RUNE,THORChain,rune-thorchain,206974563.00,"linear,spot"
EGLD,EGLD,MultiversX (Elrond),egld-elrond,199926603.00,"linear,spot"
MX,MX,MX Token,mx-mx-token,199448858.00,spot
ZBCN,ZBCN,Zebec Network,zbcn-zebec-network,197118345.00,linear
DEXE,DEXE,DeXe,dexe-dexe,191183177.00,linear
W,W,Wormhole,w-wormhole,182586808.00,"linear,spot"
0G,0G,0G,zero-gravity-0g,180736842.00,"linear,spot"
RLUSD,RLUSD,Ripple USD,rlusd-ripple-usd,176595413.00,"linear,spot"
WAL,WAL,Walrus,wal-walrus,175930051.00,"linear,spot"
BARD,BARD,Lombard,bard-lombard,171582419.00,"linear,spot"
CVX,CVX,Convex Finance,cvx-convex-finance,169788802.00,linear
RSR,RSR,Reserve Rights,rsr-reserve-rights,165999610.00,linear
PROM,PROM,Prometeus,prom-prometeus,163143632.00,linear
WEMIX,WEMIX,WEMIX Token,wemix-wemix-token,162463842.00,spot
XCN,XCN,Onyxcoin,xcn-chain,161592705.00,linear
APE,APE,ApeCoin,ape-apecoin,159368285.00,"linear,spot"
SFP,SFP,SafePal Token,sfp-safepal-token,158169483.00,linear
LPT,LPT,Livepeer,lpt-livepeer,157258598.00,linear
BBSOL,BBSOL,Bybit Staked SOL,bbsol-bybit-staked-sol,154879170.00,spot
ZRO,ZRO,LayerZero,zro-layerzero,154838227.00,"linear,spot"
BEAM,BEAM,Beam Token,beam-beam-eth,154650417.00,"linear,spot"
KITE,KITE,Kite,kite-kite-ai,154613902.00,linear
AXS,AXS,Axie Infinity,axs-axie-infinity,154080440.00,"linear,spot"
ATH,ATH,Aethir,ath14-aethir,153002106.00,"linear,spot"
FORM,FORM,Four,form-four,150210317.00,linear
BRETT,BRETT,Brett (Base),brett-brett-base,148912789.00,"linear,spot"
ALCH,ALCH,Alchemist AI,alch-alchemist-ai,148737045.00,"linear,spot"
TOSHI,TOSHI,Toshi,toshi-toshi,146538798.00,spot
SNX,SNX,Synthetix Network,snx-synthetix-network-token,145902917.00,"linear,spot"
SOL,SOL,Binance-Peg SOL,sol-binance-peg-sol,140120852.00,"linear,spot"
FOLKS,FOLKS,Folks Finance,folks-folks-finance,137735099.00,linear
CORE,CORE,Core DAO,core-core-dao,137191937.00,"linear,spot"
AIOZ,AIOZ,AIOZ Network,aioz-aioz-network,136290315.00,"linear,spot"
QTUM,QTUM,Qtum,qtum-qtum,136205541.00,"linear,spot"
GRASS,GRASS,GRASS,grass-grass,134766038.00,"linear,spot"
DYDX,DYDX,DYDX Chain,dydx-dydx-chain,134536117.00,"linear,spot"
CTC,CTC,Creditcoin,ctc-creditcoin,132965816.00,"linear,spot"
ZEN,ZEN,Horizen,zen-horizen,130639188.00,"linear,spot"
KAITO,KAITO,KAITO,kaito-kaito,128919667.00,linear
H,H,Humanity,h-humanity,127212847.00,"linear,spot"
SVL,SVL,Slash Vision Labs,svl-slash-vision-labs,125639528.00,spot
GAS,GAS,Gas,gas-gas,121707724.00,linear
ZORA,ZORA,Zora,zora-zora,120017890.00,"linear,spot"
STG,STG,Stargate Finance,stg-stargatetoken,118069885.00,linear
CKB,CKB,Nervos Network,ckb-nervos-network,117040336.00,linear
RVN,RVN,Ravencoin,rvn-ravencoin,115616296.00,"linear,spot"
LA,LA,LATOKEN,la-latoken,114454368.00,"linear,spot"
MET,MET,Meteora,met-meteora,113916371.00,"linear,spot"
COAI,COAI,ChainOpera AI,coai-chainopera-ai,113847540.00,linear
FLUID,FLUID,Fluid,inst-instadapp,113689530.00,"linear,spot"
AKT,AKT,Akash Network,akt-akash-network,113594272.00,linear
YFI,YFI,yearn.finance,yfi-yearnfinance,112787103.00,"linear,spot"
DOG,DOG,Dog (Bitcoin),-doggotothemoon,112387793.00,linear
KUB,KUB,Bitkub Coin,kub-bitkub-coin,111001808.00,spot
ZRX,ZRX,0x,zrx-0x,109774771.00,"linear,spot"
AWE,AWE,AWE Network,awe-awe-network,108499957.00,linear
UB,UB,Unibase,ub-unibase,108491788.00,linear
JTO,JTO,Jito,jto-jito,107523912.00,"linear,spot"
ZK,ZK,zkSync,zk-zksync,106869057.00,"linear,spot"
MINA,MINA,Mina Protocol,mina-mina-protocol,106796465.00,"linear,spot"
SUPER,SUPER,SuperVerse,super-superfarm,106409023.00,linear
VELO,VELO,Velo,velo-velo,106090191.00,"linear,spot"
ARKM,ARKM,Arkham,arkm-arkham,105249951.00,"linear,spot"
T,T,Threshold Network,t-threshold-network-token,105015860.00,linear
YZY,YZY,YZY,yzy-yzy,104867228.00,linear
MOVE,MOVE,Movement,move-movement,104853755.00,"linear,spot"
LINEA,LINEA,Linea,linea-linea,104773116.00,"linear,spot"
BABYDOGE,BABYDOGE,Baby Doge Coin,babydoge-baby-doge-coin,103869315.00,spot
AXL,AXL,Axelar,ico-axelar,103385650.00,"linear,spot"
DGB,DGB,DigiByte,dgb-digibyte,102971355.00,"linear,spot"
EIGEN,EIGEN,Eigenlayer,eigen-eigenlayer,101298581.00,"linear,spot"
JELLYJELLY,JELLYJELLY,Jelly-My-Jelly,jellyjelly-jelly-my-jelly,98563172.00,linear
VENOM,VENOM,Venom,wvenom-wrapped-venom,97717963.00,spot
ZIL,ZIL,Zilliqa,zil-zilliqa,96615867.00,"linear,spot"
ORDI,ORDI,Ordinals,ordi-ordinals,96611574.00,"linear,spot"
DEEP,DEEP,DeepBook Protocol,deep-deepbook-protocol,95960005.00,"linear,spot"
MOG,MOG,Mog Coin,mog-mog-coin,95021544.00,spot
KAVA,KAVA,Kava,kava-kava,93866444.00,"linear,spot"
XNO,XNO,Nano,xno-nano,93260016.00,linear
XVG,XVG,Verge,xvg-verge,91939844.00,linear
OM,OM,MANTRA,om-mantra-dao,91699261.00,"linear,spot"
SAFE,SAFE,Safe,safe-safe,90692432.00,"linear,spot"
LUNA,LUNA,Terra,luna-terra-v2,90449716.00,spot
ASTR,ASTR,Astar,astr-astar,89389708.00,linear
POPCAT,POPCAT,Popcat,popcat-popcat,88721413.00,"linear,spot"
B3,B3,B3,b3-b3,88134398.00,"linear,spot"
ZIG,ZIG,ZigCoin,zig-zigcoin,87421041.00,spot
VANA,VANA,Vana,vana-vana,83857416.00,"linear,spot"
WAVES,WAVES,Waves,waves-waves,83069422.00,"linear,spot"
NMR,NMR,Numeraire,nmr-numeraire,81670911.00,linear
CELO,CELO,Celo,celo-celo,81664835.00,"linear,spot"
SC,SC,Siacoin,sc-siacoin,81440656.00,"linear,spot"
GMX,GMX,GMX,gmx-gmx,81348239.00,"linear,spot"
KMNO,KMNO,Kamino,kmno-kamino-finance,80149654.00,"linear,spot"
MEW,MEW,cat in a dogs world,mew-cat-in-a-dogs-world,79918555.00,"linear,spot"
VTHO,VTHO,VeThor Token,vtho-vethor-token,78974131.00,spot
COW,COW,CoW Protocol,cow-cow-protocol,78773802.00,linear
COW,COW,CoW Protocol Token,cow-cow-protocol-token,78715019.00,linear
REQ,REQ,Request,req-request-network,78519525.00,linear
ROSE,ROSE,Oasis Network,rose-oasis-network,78339024.00,"linear,spot"
BLUR,BLUR,Blur,blur-blur,78083196.00,"linear,spot"
MOCA,MOCA,Moca,moca-moca,77613097.00,"linear,spot"
XVS,XVS,Venus,xvs-venus,76089127.00,linear
PNUT,PNUT,Peanut the Squirrel,pnut-peanut-the-squirrel,75940808.00,"linear,spot"
PROVE,PROVE,Succinct,prove-succinct,75094890.00,"linear,spot"
USELESS,USELESS,Useless Coin,useless-useless-coin,73720036.00,linear
MOODENG,MOODENG,Moo Deng (moodengsol.com),moodeng-moo-deng-moodengsolcom,73543369.00,linear
FTT,FTT,FTX Token,ftt-ftx-token,72965181.00,spot
BIO,BIO,BIO Protocol,bio-bio-protocol,72802263.00,linear
PUFF,PUFF,Puff Token,puff-puff-token,72800924.00,spot
PUFF,PUFF,Puff The Dragon,puff-puff-the-dragon,72791901.00,spot
CFG,CFG,Centrifuge,cfg-centrifuge,71399969.00,spot
XCH,XCH,Chia,xch-chia-,71208140.00,linear
IOTX,IOTX,IoTeX,iotx-iotex,70724125.00,linear
BERA,BERA,Berachain,bera-berachain,70115367.00,"linear,spot"
BAN,BAN,Comedian,bansol-comedian,70054276.00,"linear,spot"
LRC,LRC,Loopring,lrc-loopring,69550561.00,"linear,spot"
DRIFT,DRIFT,Drift Protocol,drift-drift-protocol,69536176.00,"linear,spot"
ANKR,ANKR,Ankr,ankr-ankr-network,68770771.00,"linear,spot"
GIGGLE,GIGGLE,Giggle Fund,giggle-giggle-fund-1,68460631.00,linear
LIGHT,LIGHT,Bitlight,light-bitlight,68263692.00,linear
HOME,HOME,Home,home-home2,67152063.00,"linear,spot"
CSPR,CSPR,Casper Network,cspr-casper-network,66888221.00,spot
NXPC,NXPC,NEXPACE,nxpc-nexpace,66217871.00,"linear,spot"
ESPORTS,ESPORTS,Yooldo,esports-yooldo,66077719.00,linear
